srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system2Number,system1Id,system2Id,system1rank,system2rank
gug,gug,272,272,272,annotA,-1,-1,CAMB,NMT,4,2
gug,gug,272,272,272,annotA,-1,-1,CAMB,turk,4,1
gug,gug,272,272,272,annotA,-1,-1,CAMB,orig,4,5
gug,gug,272,272,272,annotA,-1,-1,CAMB,AMU,4,4
gug,gug,272,272,272,annotA,-1,-1,NMT,turk,2,1
gug,gug,272,272,272,annotA,-1,-1,NMT,orig,2,5
gug,gug,272,272,272,annotA,-1,-1,NMT,AMU,2,4
gug,gug,272,272,272,annotA,-1,-1,turk,orig,1,5
gug,gug,272,272,272,annotA,-1,-1,turk,AMU,1,4
gug,gug,272,272,272,annotA,-1,-1,orig,AMU,5,4
gug,gug,2377,2377,2377,annotA,-1,-1,turk,CAMB,1,5
gug,gug,2377,2377,2377,annotA,-1,-1,turk,NMT,1,4
gug,gug,2377,2377,2377,annotA,-1,-1,turk,AMU,1,4
gug,gug,2377,2377,2377,annotA,-1,-1,turk,orig,1,4
gug,gug,2377,2377,2377,annotA,-1,-1,CAMB,NMT,5,4
gug,gug,2377,2377,2377,annotA,-1,-1,CAMB,AMU,5,4
gug,gug,2377,2377,2377,annotA,-1,-1,CAMB,orig,5,4
gug,gug,2377,2377,2377,annotA,-1,-1,NMT,AMU,4,4
gug,gug,2377,2377,2377,annotA,-1,-1,NMT,orig,4,4
gug,gug,2377,2377,2377,annotA,-1,-1,AMU,orig,4,4
gug,gug,749,749,749,annotA,-1,-1,NMT,AMU,5,3
gug,gug,749,749,749,annotA,-1,-1,NMT,turk,5,1
gug,gug,749,749,749,annotA,-1,-1,NMT,orig,5,4
gug,gug,749,749,749,annotA,-1,-1,NMT,CAMB,5,3
gug,gug,749,749,749,annotA,-1,-1,AMU,turk,3,1
gug,gug,749,749,749,annotA,-1,-1,AMU,orig,3,4
gug,gug,749,749,749,annotA,-1,-1,AMU,CAMB,3,3
gug,gug,749,749,749,annotA,-1,-1,turk,orig,1,4
gug,gug,749,749,749,annotA,-1,-1,turk,CAMB,1,3
gug,gug,749,749,749,annotA,-1,-1,orig,CAMB,4,3
gug,gug,734,734,734,annotA,-1,-1,orig,NMT,4,4
gug,gug,734,734,734,annotA,-1,-1,orig,CAMB,4,4
gug,gug,734,734,734,annotA,-1,-1,orig,turk,4,5
gug,gug,734,734,734,annotA,-1,-1,orig,AMU,4,4
gug,gug,734,734,734,annotA,-1,-1,NMT,CAMB,4,4
gug,gug,734,734,734,annotA,-1,-1,NMT,turk,4,5
gug,gug,734,734,734,annotA,-1,-1,NMT,AMU,4,4
gug,gug,734,734,734,annotA,-1,-1,CAMB,turk,4,5
gug,gug,734,734,734,annotA,-1,-1,CAMB,AMU,4,4
gug,gug,734,734,734,annotA,-1,-1,turk,AMU,5,4
gug,gug,2212,2212,2212,annotA,-1,-1,CAMB,turk,2,1
gug,gug,2212,2212,2212,annotA,-1,-1,CAMB,NMT,2,5
gug,gug,2212,2212,2212,annotA,-1,-1,CAMB,AMU,2,3
gug,gug,2212,2212,2212,annotA,-1,-1,CAMB,orig,2,4
gug,gug,2212,2212,2212,annotA,-1,-1,turk,NMT,1,5
gug,gug,2212,2212,2212,annotA,-1,-1,turk,AMU,1,3
